,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items
55,316,Snoop Dogg - B.O.D.R,112.04,-52.12%,-11.95%,2.07,2.3K,1
62,317,Notorious Alien Space Agents,111.88,+82.38%,-76.71%,0.17,641,5.6K
56,318,The Weirdo Ghost Gang,111.78,+45.00%,-92.91%,0.2,2.5K,5.6K
61,319,Plug Pass,111.58,-29.61%,+16.49%,1.8,861,1
57,320,MonoLocco XYZ,111.47,---,---,0.19,948,1.3K
60,321,Official Dormant Dragons,111.38,-14.90%,+503.22%,0.16,1.7K,5.0K
58,322,Rumble Kong League,110.55,+227.90%,-17.52%,1.99,3.2K,10.0K
59,323,JUNGLE FREAKS BY TROSLEY,109.52,-51.27%,-14.65%,0.51,2.4K,10.0K
44,324,Phantom Galaxies Origin Collection,108.4,-19.08%,-6.31%,< 0.01,529.8K,2
75,325,Project Ririsu,106.63,+681.00%,-71.23%,0.05,2.6K,5.6K
51,326,EtherOrcs Allies,106.39,-14.30%,-18.11%,0.89,66,5.8K
72,327,MatrixWorld LandVoucher,106.16,-25.33%,+97.92%,1.35,1.1K,1.8K
50,328,FishyFam,106.1,-32.18%,-38.54%,0.19,6.0K,10.0K
68,329,Crypto SE7EN Society,"244,354.4",-46.41%,-59.65%,727,660,6.8K
48,330,Cosmic Trippies,105.71,-30.62%,+93.66%,0.08,1.2K,7.6K
69,331,LinksDAO,105.56,+463.55%,-40.73%,0.64,5.3K,9.1K
47,332,Neo Tokyo Outer Item Caches,105.26,+39.52%,-36.08%,0.34,3.8K,4.3K
0,333,findbalance,104.99,-47.95%,-62.96%,0.38,964,6
67,334,Shades Of You NFT,104.89,-49.98%,-68.52%,0.03,2.5K,7.0K
41,335,Geisha Tea House,104.81,-59.00%,+167.52%,0.08,4.2K,10.0K
42,336,Pop Art Cats by Matt Chessco,104.09,+45.23%,-52.56%,0.17,5.0K,10.0K
61,337,ZED RUN Legacy,103.75,+82.38%,-71.17%,0.01,46.8K,217.9K
40,338,Creepz Mega Shapeshifterz,103.89,+9.59%,+2.86%,0.69,2.0K,3.5K
62,339,ALTAVA Second Skin Metamorphosis,101.52,---,---,0.34,1.0K,1.3K
39,340,Wolf Game - Genesis Land,101.39,+14.07%,+54.70%,0.38,5.3K,20.0K
30,341,Spotlight by Joshua Bagley,101.21,-40.86%,---,0.15,396,625
36,342,Cyber Gorillas Official,101.18,+37.15%,-64.10%,0.63,363,3.3K
34,343,My Curio Cards,100.91,-32.66%,-20.91%,0.4,4.9K,30
59,344,Evaverse,100.23,-18.41%,+1.64%,0.28,3.0K,10.0K
31,345,Letters by Vinnie Hager,99.58,-63.45%,+0.43%,3.9,853,1.0K
33,346,PX Quest,99.26,+1145.22%,-7.65%,0.29,3.1K,5.0K
32,347,Commsaur,98.68,+130996.21%,---,0.05,1.1K,3.3K
1,348,Fudders,98.52,-88.41%,+510.61%,0.08,2.9K,6.5K
53,349,Crypts and Caverns,97.1,-35.33%,-62.63%,0.17,1.3K,8.8K
27,350,Flooz GEN F,97.02,+60.20%,-22.43%,0.18,5.1K,10.0K
52,351,DumpsterDorks,96.29,-27.51%,-88.23%,0.13,2.0K,5.0K
23,352,BFF Friendship Bracelets,95.72,-7.84%,-22.26%,0.7,6.7K,7.4K
26,353,Sheet Fighter,95.68,-64.38%,-93.12%,0.09,1.3K,8.9K
48,354,Cryptoon Goonz,95.53,+1.38%,-21.56%,0.5,4.0K,7.0K
25,355,Angry Ape Army Evolution Collection,95.52,-24.21%,-26.62%,0.29,2.9K,10.0K
8,356,The Cryptoids,95.32,-69.50%,-74.46%,0.82,846,1.0K
46,357,Flyfish Club,94.62,+50.16%,-38.97%,4.29,1.3K,3.0K
20,358,Timeless Characters,94.5,+35.33%,+30.67%,0.62,3.1K,9.4K
45,359,The Heart Project,93.66,-55.46%,-32.38%,0.25,6.0K,9.9K
40,360,Origins NFT,93.12,-69.53%,+100.74%,3.55,843,2
43,361,HYPERSLOTHS-RDY-LABS,92.38,-71.97%,---,0.22,846,1.4K
41,362,Prime Kong Planet by PAP,92.16,+5.93%,-19.59%,0.14,5.7K,9.7K
42,363,HUXLEY Robots,91.71,-77.06%,-70.85%,7,520,1.0K
9,364,LOSTPOETS,90.96,-37.71%,-6.26%,0.62,8.4K,27.7K
15,365,Property's NFT,90.69,-5.95%,+186.73%,0.13,2.3K,6.0K
37,366,METABILLIONAIRE,90.51,-83.19%,+101.27%,0.28,4.2K,7.8K
14,367,Metaverse HQ,90.48,+100.29%,+14.55%,3.8,1.4K,1
34,368,Oi Sunnies,"205,349.7",-67.68%,+1003.85%,75,613,5.6K
12,369,Where My Vans Go,89,---,-62.66%,69,72,118
11,370,- TronWars -,88.77,+171.44%,+0.25%,0.18,5.1K,8.9K
0,371,Legionfarm Gaming Heroes #1,87.96,---,-67.10%,1.2,414,1.6K
29,372,G.I. Toadz,87.72,---,---,0.13,1.2K,3.0K
27,373,fRiENDSiES,86.89,-60.00%,+91.34%,2.95,825,1
6,374,Wasted Whales: Afterparty,85.32,+36.61%,---,0.19,471,1.6K
25,375,Gutter Dogs,83,+213.54%,+148.08%,1.7,2.0K,2.9K
26,376,META RABBITS OFFICIAL V1,"187,416",-26.32%,-64.38%,423,799,5.5K
22,377,Notorious Frogs,80.81,-44.25%,-49.25%,0.33,2.7K,10.0K
24,378,renaissance-nft,"185,616.42",-9.73%,-69.50%,960,786,3.1K
23,379,Superlative Apes,80.3,-0.90%,-54.30%,0.46,2.5K,4.4K
18,380,CULT&RAIN - The Genesis Collection,80.2,-45.58%,+23.35%,0.19,689,1.4K
21,381,Damien Hirst - The Currency,80.16,---,-13.09%,4.13,1.7K,2.2K
19,382,Voxel Ville Official,79.82,+152.94%,-49.52%,0.4,1.6K,4.3K
20,383,Bloodshed Bears TokenGenerator,79.72,---,---,0.2,135,1.9K
1,384,0xOrbit GENESIS,79.7,+146.85%,---,0.03,618,1
17,385,0xMAYC Official,79.62,+35589.30%,+19762.21%,0.01,2.2K,10.0K
15,386,LetsWalk,79.17,-40.22%,+181.24%,4.8,561,63
16,387,Superlative Mutated Apes,79.11,-15.76%,+58.05%,0.16,2.0K,4.4K
2,388,Pepe Universe Genesis,78.05,+84.17%,-45.75%,0.04,393,500
14,389,The CryptoDads,77.91,-49.98%,+319.28%,0.25,7.5K,10.0K
12,390,mphers,77.1,-47.48%,+6648.50%,< 0.01,1.6K,7.0K
13,391,Mintonian Society,77.01,-72.03%,+1031.14%,0.3,624,10.0K
3,392,Trillionaire Thugs,76.47,-15.38%,-46.83%,0.35,4.0K,7.8K
11,393,Ethereum Towers,76.35,-55.69%,-10.51%,0.83,1.3K,2.2K
4,394,Ascended NFT Official,76.33,+40.64%,-37.89%,0.13,4.4K,8.9K
10,395,think what you think,76.26,-55.06%,---,---,2,6
5,396,Ninja Squad Official,76.22,+203.00%,+36.74%,0.37,3.2K,8.9K
9,397,Netvrk Transports,75.9,---,+94.92%,0.12,1.9K,5.0K
6,398,Ash Chapter One: Carbon,75.75,---,+49.60%,4.99,728,853
7,399,Purrnelopes Country Club,75.5,+56.80%,+773.25%,0.3,3.1K,10.0K
8,400,Information Token,75,---,---,80,62,1
75,401,ARBO Artifacts,74.69,-67.40%,---,< 0.01,1.9K,46
73,402,Somnium Space VR,74.64,-85.16%,-34.06%,0.6,4.6K,5.8K
74,403,Roo Troop,74.03,-18.00%,-31.99%,0.13,2.1K,5.5K
69,404,Tsubasa By Tabinekokiki,73.83,+44.56%,---,0.19,555,845
72,405,Crypto Cannabis Club,73.73,+18.51%,-36.91%,0.3,4.4K,10.0K
70,406,MoonCats,73.68,+78.60%,-16.44%,0.52,5.6K,19.0K
71,407,Bloodshed Bears TreeHouse,73.47,---,---,0.17,148,1.5K
53,408,IRL Psychedelics Anonymous Pass,73.2,-84.04%,-54.97%,0.3,5.6K,9.6K
68,409,Voiceverse - Origins,72.5,-58.27%,+110.55%,0.07,2.8K,8.9K
66,410,Genesis isoroom,72.28,+2.90%,+57.59%,0.31,344,3.0K
67,411,Meta Penguin Island,72.06,+19.77%,-48.19%,0.08,2.3K,3.6K
54,412,Generative Dungeon,71.94,+172.45%,-27.83%,0.5,1.9K,3.0K
65,413,Fang Gang,71.91,+198.11%,+27.49%,0.23,4.4K,8.9K
63,414,MurMur Cats,70.88,+101.62%,-12.36%,3,330,537
64,415,Yeti Town NFT,70.78,+145.93%,-57.78%,0.16,2.0K,4.4K
55,416,BABY MONGZ OFFICIAL,"162,920.3",-41.13%,---,70,1.2K,5.5K
62,417,GhostsProject,70.66,+114.71%,-48.68%,0.25,3.4K,10.0K
56,418,Kong Club Official,70.51,-71.51%,-47.54%,0.01,4.9K,7.8K
61,419,WEEDGANG.GAME - PLOT,70.23,+57.12%,+125.95%,0.35,596,1
57,420,Chumbi Valley Official,70.01,+528.23%,+15.73%,0.73,1.9K,4.1K
60,421,Rengoku Legends [Samurai],69.85,+89.12%,-41.10%,0.16,3.8K,6.3K
58,422,AP Club NFT,69.69,-74.44%,---,1.8,142,159
59,423,DO NOT BUY. MIGRATION IN PROGRESS.,69.6,---,-56.50%,20,180,333
44,424,LIQUID METAL by TRIPLE SIX,69.25,-29.35%,-90.03%,0.02,2.4K,6.7K
75,425,Tie Dye Ninjas,69.24,-33.46%,+876.54%,0.06,3.0K,7.8K
51,426,Cyber Keys NFT,68.82,-64.14%,+1.34%,0.15,422,1.0K
49,427,NFTrees,68.65,+0.63%,+15.79%,14.9,260,421
50,428,Cyber Snails Official,68.64,-59.89%,---,0.04,1.0K,3.3K
45,429,DWCNFT GENESIS PASSES,68.04,---,+30.58%,5.7,245,1
48,430,Crypto Bull Society,67.81,+150.86%,-52.80%,0.31,4.7K,7.8K
69,431,Super Creators By IAC,67.7,-28.71%,-53.03%,3.22,831,2.2K
47,432,0N1 Force,66.8,-12.87%,-25.57%,0.47,4.3K,7.8K
30,433,Gambling Apes,66.77,+52.40%,-18.47%,0.52,3.8K,7.8K
67,434,Louis Moinet Space Revolution,66.43,---,---,0.26,582,1.0K
65,435,Recon Rams,66.42,-21.48%,-58.49%,0.09,1.9K,4.2K
66,436,CryptoDickbutts OG,65.95,-100.00%,+67.49%,6.2,110,161
61,437,Stampu,65.81,+89.30%,+440.16%,0.06,1.4K,40
40,438,Squishy Squad NFT,65.54,-28.32%,+37.95%,0.21,6.0K,8.9K
62,439,3DBears,64.97,-25.91%,-34.75%,0.03,3.5K,10.0K
63,440,iNFT Personality Pod by Alethea AI,64.86,-25.05%,-7.62%,0.34,1.7K,9.8K
54,441,NFT HUD Lifetime Access,64.43,-17.16%,-18.67%,0.38,2.7K,3.0K
60,442,Non Fungible Tools Lifetime Membership,63.48,+0.40%,+37.69%,0.95,1.1K,1
58,443,Royal Society of Players,63.35,-78.85%,+32.47%,0.17,1.6K,10.0K
59,444,Superchief Season 1 Starter Pack,63.31,-100.00%,+78.85%,0.2,359,324
55,445,onlySnipers,62.86,-10.21%,-72.20%,0.38,887,999
33,446,ZenAcademy,62.75,-69.50%,+1.54%,0.27,5.1K,2
32,447,The Girls of Armament V2,62.07,---,+343.36%,7,71,84
31,448,MKS Meta Kong Society,62.04,+19.98%,+132.29%,0.16,1.3K,2.1K
29,449,Uloan Token NFT,62,-100.00%,+342.86%,2,11,65
27,450,Incomplete Control by Tyler Hobbs,62,-100.00%,---,150,65,100
52,451,Rebel Bots,61.99,-25.53%,-42.51%,0.32,3.4K,10.0K
47,452,Cupcats Official,61.67,+2.63%,+270.31%,0.33,1.8K,5.0K
50,453,Cryptowalkers-Official,61.54,+292.20%,+27.39%,0.44,2.1K,6.5K
48,454,Girlies NFT,61.46,+19.85%,-73.14%,0.13,4.5K,10.0K
49,455,THE PATHFINDERS,61.33,+7.52%,+145.08%,0.11,1.2K,2.5K
32,456,The Mutant Mushies,61.01,+108.87%,---,0.26,298,420
22,457,Gutter Pigeons,60.76,+354.35%,+114.55%,1.19,1.9K,2.9K
20,458,Metaverse Psychedelics Anonymous Pass,60.65,-50.45%,-56.08%,0.24,5.6K,9.6K
21,459,TORIX GENESIS,60.35,+334.45%,-82.59%,0.3,1.3K,3.5K
40,460,Candy Hunters,60.14,+131.34%,-93.20%,0.03,4.6K,10.0K
43,461,More Than Gamers | MTG,60.02,+18.79%,+37.46%,0.12,5.6K,10.1K
17,462,Back Country,60,-100.00%,---,---,2,2
18,463,SandVegasCasinoClub Official,59.94,+51.84%,+1.32%,0.35,4.3K,11.1K
9,464,TOKYO PUNKS by SABET,59.64,+1.53%,+50.19%,0.1,2.9K,4.9K
39,465,Ecoverse Studio,"137,071.1",-80.59%,+1.49%,1800,321,1.5K
13,466,Creepy Creams: Alpha Wave,58.33,+4.68%,-19.67%,0.37,465,1.5K
38,467,the ape frens (Official),58.15,-96.39%,---,< 0.01,1.9K,7.8K
34,468,Solarbots.io,57.91,-78.22%,+50.12%,0.14,1.5K,38.8K
36,469,Kaiju Failed Experiments,57.48,-69.48%,-81.58%,1.25,308,1.8K
35,470,CATBOTICA,57.2,+63.65%,-66.60%,0.2,2.0K,12.0K
0,471,Undead Pastel Club,56.96,-8.86%,+17.05%,0.17,6.4K,10.0K
7,472,"Dog Days, Bogota by Alec Soth",56.8,-100.00%,---,1.7,36,55
27,473,Creepz Loomi Vault,56.03,-61.14%,+6.48%,0.35,157,5.0K
6,474,Zooverse Genesis,56.02,-60.11%,+83.74%,2.45,395,444
25,475,Kumo x World Residents,55.72,-61.36%,+6.24%,0.2,3.8K,6.6K
4,476,Sins Finance Nodes,55.66,+702.83%,+121.96%,0.1,471,895
22,477,THE PLUTO ALLIANCE,55.17,+216.81%,-74.85%,0.13,3.4K,10.0K
24,478,1989 Sisters,55.15,-59.39%,+103.39%,0.9,704,2.0K
23,479,Nostalgia by YMH,55.11,+98.52%,-27.79%,1.06,2.3K,2.7K
18,480,ZED RUN,55.09,+1.65%,---,< 0.01,11.0K,111.9K
21,481,BEANS - Dumb Ways to Die,54.96,+22.74%,-56.14%,0.15,4.2K,10.0K
19,482,Ape Invaders Genesis,54.79,-66.21%,-13.88%,0.18,594,5.5K
20,483,Bad Baby Dinos,54.51,+74.86%,-50.68%,0.17,1.7K,7.8K
1,484,888 inner circle,54.02,+36.05%,-74.04%,0.61,2.6K,1
17,485,AMBUSH OFFICIAL POW! Reboot,54.01,+333.14%,-93.66%,0.26,1.4K,2.0K
15,486,Furballs.com Official,53.77,+163.53%,+37.53%,0.61,1.1K,7.3K
16,487,Alpha Kongs Club - AKC,53.27,+25.62%,-68.44%,0.17,5.6K,8.9K
2,488,The Red Village Champions,52.55,+82.93%,+74.41%,0.12,2.2K,11.0K
14,489,Zuki mfer,52.53,-54.74%,-79.85%,< 0.01,2.3K,7.0K
12,490,TCG Dragon Cave Club,52.51,+8.29%,-42.89%,0.13,3.1K,10.0K
13,491,Desperate ApeWives,52.37,-16.99%,-11.88%,0.29,4.6K,10.0K
3,492,SUPERPLASTIC: Cryptojankyz,52.36,-7.93%,-50.67%,0.22,5.8K,13.9K
11,493,0xAzuki,51.97,-17.97%,-93.27%,0.02,4.1K,10.0K
4,494,Genesis Mana (for Loot),51.64,-36.85%,+49.21%,0.26,611,8.7K
10,495,The Ascendants - Gifts of The Gods,51.53,-23.37%,+49.72%,0.89,603,2
5,496,Deez Nuts (Official Nuts),51.4,-29.89%,-8.68%,0.32,3.5K,10.0K
9,497,ChubbyKaijuDAO,51.35,+0.92%,-6.56%,0.08,2.6K,10.0K
6,498,Toy Boogers,51.22,+11.83%,+37.73%,0.6,1.9K,3.3K
7,499,XenoInfinity,51.16,-39.41%,-13.87%,0.27,698,2.6K
8,500,THE SECRET SOCIETY XX Collection,51.06,-31.33%,+83.70%,0.13,2.8K,6.7K
75,501,Neo Tokyo Identities,50.83,---,-32.14%,9.99,63,2.0K
73,502,KLAY APE KIDS,"117,131.18",-28.20%,+23.75%,202,802,6.1K
74,503,Smircs,50.82,---,+2158.56%,2.37,82,124
69,504,Block Pass,50.77,-28.60%,---,0.19,468,569
72,505,Ballman project,50.7,+138.78%,-37.43%,0.09,2.8K,6.2K
70,506,Meta Pirates Project,50.66,-56.52%,+157.98%,0.21,848,1.4K
71,507,The Meta Key,50.51,+10.45%,+20.65%,0.19,6.1K,4
53,508,Laid Back Llamas Collection,50.33,+103.89%,-12.94%,0.18,3.5K,7.0K
68,509,ape mfers,50.31,-21.04%,-75.33%,0.08,1.8K,8.9K
66,510,Synth Heads,49.97,-43.58%,+45.53%,0.09,1.2K,3.0K
67,511,Varvara Alay,49.8,-67.28%,---,0.23,244,31
54,512,Phto All Access Pass,49.74,-56.84%,-30.35%,0.31,301,1
65,513,Crypto Raiders MOBS,49.69,-91.48%,+3.45%,0.11,1.5K,12.6K
63,514,LykeIsland,49.64,-14.77%,---,2.6,112,120
64,515,Hedgies,49.14,+768.89%,-25.85%,0.81,1.6K,2.5K
55,516,ASM AIFA All-Stars,49.05,-15.41%,-69.83%,0.2,3.1K,29.1K
62,517,MEV Army,48.89,+210.56%,+15.18%,0.12,3.9K,10.0K
56,518,SVCC Golden Gamblers,48.63,+366.78%,+13.08%,2.41,634,1.1K
61,519,Bricktopians by Law Degree,48.62,+25.60%,-4.14%,0.23,5.2K,10.0K
57,520,Kenome,"111,847",+1023.22%,-2.33%,700,144,10.0K
60,521,TheWhitelist.io - Aces,48.28,-65.33%,-20.21%,0.05,4.9K,10.0K
58,522,Hashmasks,47.69,+57.25%,+66.11%,0.74,5.1K,16.4K
59,523,Koonimals Official Collection,47.61,-65.82%,---,0.3,305,497
44,524,Forgotten Babies Wizard Orphanage,47.46,-82.97%,---,0.02,1.3K,10.0K
75,525,Wasted Whales: Pregame,47.4,+79.28%,+3.35%,0.75,350,800
51,526,Feral File #009 - Unsupervised,47.36,+260.89%,-55.16%,0.47,2.5K,3.3K
49,527,C-01 Official Collection,47.32,-29.19%,-38.90%,0.23,5.2K,8.9K
73,528,MutantBatz By Ozzy Osbourne,47.31,-7.46%,+24.70%,0.1,844,1.0K
68,529,Wulfz Official,47.24,-38.09%,+60.05%,0.1,933,6.7K
48,530,RugBurn,47.2,+504.67%,+61.75%,0.99,776,999
46,531,BomulPlanet Season One,"108,485.45",+79.07%,+216.48%,3075,396,5.1K
70,532,Anonymice,47,+1170.50%,+98.19%,1.39,360,10.0K
30,533,Kami Genesis,46.72,+115.79%,-76.08%,0.04,1.5K,2.9K
67,534,CROAKZ by McGill!,46.64,-7.30%,+186.90%,0.11,3.7K,7.0K
65,535,Exoplanets: The 4001 Project.,46.41,-12.72%,+463951.29%,0.05,885,4.0K
42,536,Nyan Cat (Official),46.34,-25.95%,+343.53%,1.03,646,24
37,537,BYOVape,45.83,+109.43%,-49.69%,0.4,2.8K,1
64,538,Lucky Lion Club Official (LLC),45.62,+41.29%,-63.73%,0.19,2.5K,4.0K
38,539,RTFKT Capsule Space Drip 1.2,45.45,-100.00%,+354.50%,11.5,204,348
63,540,My Fat Babiz,"104,252.59",-20.22%,+67.79%,269,287,6.4K
54,541,KLAY APE CLUB,"104,112.8",-18.81%,-57.73%,315,1.2K,10.0K
60,542,HypnoDuckz Genesis,44.74,+107.00%,-66.48%,0.68,384,555
34,543,Ultra Miners,44.63,-0.17%,-23.50%,0.53,2.2K,4.4K
59,544,OpenDAO Genesis Membership,44.5,+87.97%,-54.13%,0.06,3.7K,4
55,545,The Goobers,44.33,-82.24%,-38.27%,0.16,4.8K,14.5K
57,546,Gaia Kronos,"101,965.51",-48.67%,-9.43%,1800,704,2.2K
56,547,FEWOCiOUS x RTFKT,43.99,-100.00%,+60.55%,4,543,909
31,548,Women and Weapons,43.96,+50.31%,-55.41%,0.29,5.7K,10.0K
53,549,The Squishiverse NFT,43.78,+8.88%,-76.06%,0.06,4.3K,8.9K
51,550,Galaxy Fight Club,43.7,-44.22%,-44.95%,0.48,2.6K,10.1K
52,551,Bored Breakfast Club,43.39,-81.44%,+591.53%,0.09,2.6K,5.0K
47,552,Big Cats Official Collection,43.14,-36.12%,-50.66%,0.27,3.5K,5.2K
50,553,10KTF Stockroom,43.13,-60.63%,+124.60%,0.04,3.4K,14
48,554,JungleBay Ape Club,42.93,+123.18%,+87.50%,0.09,2.1K,5.6K
25,555,Screens by Thomas Lin Pedersen,42.9,-75.16%,+84.69%,1.8,512,999
8,556,Mad Meerkat Burrow,42.78,+62.41%,-30.04%,1.2,374,777
22,557,Private Jet Pyjama Party,42.71,-64.37%,-63.92%,0.73,2.2K,5.3K
20,558,Lucky Zeros | Purebase,42.7,-18.96%,+86.69%,0.43,1.4K,3.3K
21,559,Queens+Kings,42.68,+67.09%,-68.06%,0.19,2.6K,7.0K
16,560,Creepz Invasion Pass,42.54,+184.00%,-46.37%,0.2,3.6K,1
43,561,UglySweaters OFFICIAL,42.36,-5.05%,-72.52%,0.12,1.4K,65
17,562,PonziRugs - Onchain Art,42.21,+6.43%,+639.61%,1.25,221,307
18,563,Magic Mushroom Clubhouse,42.1,+91.25%,+43.57%,0.15,5.8K,9.2K
9,564,DASK - Dead Army Skeleton Klub,41.99,+242.68%,+15.14%,0.09,2.2K,7.0K
39,565,Woodies Generative Characters,41.9,+56.02%,-18.17%,0.25,3.8K,9.7K
13,566,CryptoMonkz - Official,41.52,-47.79%,-52.02%,0.23,1.2K,3.3K
14,567,Netvrk Bonuses,41.47,+126.34%,+63.82%,0.9,1.2K,1.9K
10,568,Worldwide Webb Items,41.4,---,-32.49%,3.7,220,315
12,569,NFTWrapped V3,41.28,-100.00%,+204.30%,0.9,669,707
35,570,merge.,41.23,-62.29%,-59.45%,0.15,9.3K,26.8K
2,571,WhaleTogether,41.21,+41.29%,-82.59%,0.08,4.8K,7.8K
7,572,Yakuza Inc. Official,40.45,-23.72%,+111.97%,0.12,1.9K,3.2K
5,573,Hunnys,40.41,-40.02%,+27.64%,0.06,2.8K,10.0K
6,574,Aku Chapters,40.29,-43.64%,+19.86%,0.31,863,13.6K
3,575,Dreaming Doge,40.04,+667.86%,+231.98%,0.12,505,10
4,576,Hashflow (Official),39.51,+48.87%,+145.19%,0.01,19.9K,30.1K
22,577,Sad Bots Genesis,39.5,-70.17%,-87.94%,0.06,2.0K,3.1K
24,578,The Repus,39.48,+85.41%,+635.35%,0.09,1.9K,3.6K
23,579,Flamigoz,39.42,-63.47%,---,0.03,245,400
19,580,KlayRabbit,"90,848.49",-44.54%,+224.83%,42,2.3K,9.7K
21,581,Ember Sword Badge,39.35,-43.10%,+66.72%,0.18,6.0K,4
20,582,ABSOLUTELY DO NOT MINT,39.23,-55.76%,+5.61%,0.16,1.1K,3.7K
1,583,Boonji Project,39.23,+7.31%,-5.97%,0.2,5.2K,11.1K
18,584,HENI: Damien Hirst - The Empresses,39.07,-89.08%,-90.54%,1.15,689,1.2K
16,585,Noodles (Official),39.06,+405.16%,-54.43%,0.29,2.8K,5.6K
17,586,PREMINT Creator Pass,39,+50.00%,-6.92%,0.9,253,275
2,587,Picks Passport,38.93,+156.13%,-76.07%,1.08,1.2K,1
15,588,Synthetic Dreams by Refik Anadol,38.88,+156.21%,+15.11%,2.15,621,1.0K
13,589,Syn City Genesis Pass,38.78,+11.64%,+0.08%,3.39,363,408
14,590,INNOCENTCATS NFT,38.72,+167.51%,-21.28%,0.14,3.4K,9.0K
3,591,Alpha Girl Club,38.7,+213.72%,-44.53%,0.23,5.2K,9.9K
12,592,Crypto Bears - By CBS,38.39,+117.63%,-78.93%,0.08,3.8K,6.4K
4,593,Meme VIP,38.29,-54.10%,---,0.09,651,3.6K
11,594,LaserCat NFT,38.16,-11.89%,-46.96%,3.33,484,520
5,595,Divine Anarchy,38.05,+554.69%,+0.38%,0.18,5.0K,10.0K
10,596,Ethereal Apes (Official),38.03,-55.12%,---,0.1,960,3.3K
6,597,Goons of Balatroon,37.96,+71.40%,+226.16%,0.16,3.3K,9.7K
9,598,Axolittles,37.76,-10.19%,+479.36%,0.08,3.7K,10.0K
7,599,Meridian by Matt DesLauriers,37.7,+34.00%,+4.75%,6.71,613,1.0K
8,600,Rarible,37.61,-11.66%,-4.78%,< 0.01,207.9K,312.4K
75,601,cryptodogz V3,37.5,-100.00%,---,1,3,4
73,602,Power Musix Seeds,37.39,-66.34%,-9.57%,0.42,671,1.0K
74,603,dogedash,37.29,+69.67%,+580.54%,0.07,1.6K,4.1K
69,604,TBAC,37.25,-100.00%,+21.74%,1.25,167,9
72,605,Flowtys,37.15,-75.52%,+1490.36%,0.07,3.8K,10.0K
70,606,KlayLand,"85,611.77",-7.56%,-43.47%,70,2.0K,6.8K
71,607,League of Kingdoms (Ethereum),36.88,+99.50%,+30.94%,0.03,1.8K,5.2K
53,608,Ember Sword Land,36.66,+134.84%,-35.12%,0.19,6.0K,40.0K
68,609,Memebank,36.3,-100.00%,---,---,5,6
66,610,Riot Girls,36.05,+81.16%,-95.16%,0.48,513,666
67,611,Ringers by Dmitri Cherniak,36,---,+12.50%,41,283,1.0K
54,612,metaENGImono,36,-100.00%,---,---,3,4
65,613,FLUF World: Scenes & Sounds,35.99,-13.10%,-7.93%,0.06,2.4K,55
63,614,Travel Tiger Club by Travala.com,35.97,+91.69%,-76.46%,3.4,822,1.0K
64,615,EllioTrades NFT Collection,35.92,-100.00%,+17.00%,2.19,796,1.9K
55,616,Voxies,35.89,+688.41%,+16.43%,0.45,1.7K,10.0K
62,617,Larva Lads,35.42,-62.57%,+275.65%,0.14,2.7K,5.0K
56,618,hypemfers,35.23,-86.79%,---,< 0.01,1.3K,7.0K
61,619,55Unity,35.09,-28.92%,---,0.11,647,2.3K
57,620,Gutter Rats,35.01,+108.50%,+21.31%,1.29,1.9K,3.0K
60,621,Egg Heads Club,34.99,-60.64%,+89.57%,0.09,1.7K,3.5K
58,622,Pixlverse Items,34.8,-28.22%,-65.23%,0.03,1.4K,18
59,623,Crash Test Joyride,34.79,+146.29%,+38.27%,0.1,2.2K,4.4K
44,624,Influence Crew,34.55,+1104.84%,+50.66%,0.11,1.2K,7.7K
75,625,BadBaby NFT Official,"79,564.01",-46.78%,---,178,414,956
51,626,Genesis Fat Academy,34.47,+48.33%,+29.81%,2.74,172,200
72,627,Party Degenerates,34.43,+40.20%,-33.59%,0.24,3.7K,10.0K
50,628,IlluminatiNFT,34.38,-46.78%,-13.08%,0.3,3.7K,8.1K
68,629,Project MIP Network,34.28,+861.65%,+62.36%,0.06,5.5K,9.6K
48,630,Superlative Magic Laboratory,34.2,-39.57%,---,0.07,1.9K,3
69,631,Birdez Gang Collection,34.18,-88.16%,+6.79%,1.09,547,1.3K
70,632,Colonists,34.17,-9.18%,+4.89%,0.08,5.7K,25.0K
0,633,Galaxy-Eggs,34.14,-29.47%,+51.41%,0.18,5.0K,10.0K
67,634,Beatnik Tiki Tribe,34.14,+184.29%,+2292.98%,0.07,1.5K,5.0K
65,635,GossApe Girl Official,34.04,-69.69%,-47.68%,0.13,3.4K,7.0K
42,636,BrainDrops,33.89,+711.01%,-55.77%,0.08,2.1K,7.2K
61,637,2112.run rootPasses,33.73,+42.50%,-8.01%,0.03,1.3K,6
64,638,Impact Theory Founder's Key,33.71,+44.79%,-2.24%,0.11,5.2K,15.1K
62,639,PILLS,33.41,-57.75%,-38.82%,0.58,760,1.6K
63,640,The Humanoids,33.36,-45.59%,-8.62%,0.23,3.9K,10.0K
54,641,Emblem Vault [Ethereum],33.32,+38.11%,-67.32%,0.04,5.3K,24.6K
60,642,WickensNFT,33.29,-82.41%,+590.75%,0.05,2.5K,6.7K
58,643,VoxoDeus,33.25,+93.58%,+425.57%,0.14,1.7K,6.3K
59,644,Women Unite,33.06,---,-30.20%,2.1,416,224
31,645,Meta Legends,33.02,-74.34%,-18.61%,0.15,5.2K,12.3K
33,646,RTFKT x JeffStaple,32.94,---,-59.27%,5,488,802
