,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items
11,71,Gray Boys,636.81,+35.80%,-65.78%,1.28,3.3K,10.0K
5,72,Sneaky Vampiress Syndicate,632.54,+90.17%,+1617.59%,0.22,5.9K,12.3K
9,73,Edenhorde,626.39,+172.09%,-90.67%,0.45,3.7K,8.7K
7,74,Critterz Plots,613.18,-31.46%,+1288.15%,0.16,1.4K,17.0K
30,75,Clementines Nightmare,593.23,+5.59%,-76.39%,0.68,3.8K,5.0K
6,76,hausphases by Haus,581.57,+56.52%,-19.09%,0.88,4.8K,7.8K
28,77,Deadfrenz Collection,580.55,-39.33%,+74.53%,0.37,5.5K,8.8K
26,78,Derage,577.74,-81.43%,---,0.07,1.6K,4.2K
27,79,ALPACADABRAZ 3D,571.73,-27.80%,+27.20%,0.19,8.0K,20.0K
4,80,The Habibiz,566.73,-19.90%,+23.19%,0.93,1.9K,4.9K
24,81,OnChainMonkey,555.83,-12.79%,-46.84%,2.15,3.0K,9.5K
22,82,Project NANOPASS,552.55,+50.89%,+101.02%,2.28,4.0K,5.6K
23,83,Women Tribe NFT,551.81,-39.76%,-67.70%,0.14,5.2K,10.0K
18,84,Terraforms by Mathcastles,550.05,-40.35%,+54.87%,0.5,2.2K,9.9K
21,85,Age of Zen Heroes,"1,249,810",-45.99%,---,360,2.6K,7.8K
19,86,Tales Of Tsuki Genesis,536.17,-70.57%,-66.76%,0.04,6.1K,10.0K
20,87,SheepFarm,"1,231,754.12",+21.65%,+42.22%,0.99,19.8K,201.6K
5,88,Town Star,533.96,+49.69%,-23.26%,0.01,40.3K,473
17,89,VeeFriends,529.15,+92.46%,+9.38%,13,5.2K,10.3K
15,90,Floppy Collection,521.43,-83.31%,-15.96%,0.07,5.1K,10.0K
16,91,T-O-S The Other Side,501.24,-71.68%,-81.76%,0.28,2.2K,8.9K
6,92,MultiverseVM,499.97,-28.53%,-6.83%,0.53,2.2K,8.0K
14,93,Invisible Friends Specials,496.69,-100.00%,---,---,1,1
12,94,Satoshi Runners Official,489.44,---,---,0.19,4.0K,7.0K
13,95,Supreme Kong,486.7,-19.62%,-10.46%,0.72,1.2K,2.0K
7,96,NeoTokyo Outer Identities,484.89,+102.96%,+14.17%,2.79,4.1K,4.5K
11,97,Decentral Games ICE Poker,482.69,-34.40%,-47.48%,1.98,4.0K,18.9K
8,98,PeopleInThePlaceTheyLove,474.4,-50.00%,-13.16%,6.65,769,1.0K
9,99,Realms (for Adventurers),470.9,+144.44%,-43.00%,1.29,451,8.0K
10,100,Capsule House,465.29,+439.85%,+77.40%,1.42,3.8K,10.0K
75,101,FULL SEND METACARD NFT,464.94,-39.66%,+10.23%,1.19,7.3K,10.0K
73,102,SlimHoods,457.97,-4.31%,-23.05%,0.55,2.8K,5.0K
74,103,Junior Slotie,454.09,-31.38%,+105.86%,0.48,2.6K,5.8K
69,104,The Door of Dimension,"1,032,738.44",-75.92%,---,1120,2.8K,10.0K
72,105,Netvrk Land,447.49,-4.10%,-9.99%,1.04,3.8K,9.6K
70,106,BOOMGALA_Official,446.97,+51.52%,+235.39%,0.19,2.6K,6.1K
71,107,Quirkies Originals,446.95,+140.61%,-77.22%,0.56,2.5K,5.0K
53,108,Invisible Mfers,444.76,-55.46%,+17549.31%,< 0.01,3.5K,8.0K
68,109,Treeverse,436.59,+14.45%,+4.85%,---,4.7K,20.3K
66,110,Cyber Factory 2,434.95,+75.80%,-24.16%,0.84,9.4K,5
67,111,Slotie NFT,433.77,+63.27%,-10.61%,1.04,4.0K,10.0K
54,112,Official SeKira,433.03,+34.23%,---,0.08,1.7K,3.2K
65,113,Funcles NFT,432.14,-52.13%,---,0.09,2.0K,3.3K
63,114,Grandpa Ape Country Club,431.33,-46.03%,+5.73%,1,2.0K,5.0K
