,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items,uuid
6,197,RTFKT PodX,152.89,+18.99%,-62.01%,0.71,9.0K,1,bab40a17-4a17-4041-a5a7-abec62cdd462
9,198,Smilesssvrs ::),152.69,+121.84%,-38.86%,0.93,4.5K,8.7K,520d688c-a962-42d6-a9e3-777019d9db37
7,199,Realms (for Adventurers),151.38,-55.26%,-76.25%,1.18,440,8.0K,32bf397b-46e9-422d-b18e-e1f1e7b277e5
8,200,Kaiju Mutants NFT,150.32,+3.79%,-86.83%,0.7,2.0K,3.5K,5d97ebe2-1222-4ee8-83b3-9db35db4da73
75,201,Emblem Vault [Ethereum],150.08,-28.52%,+200.83%,0.04,5.4K,24.7K,7507c6d4-8197-47dc-b295-a80235f7ddd8
73,202,VOX Collectibles: Mirandus,149.51,-55.59%,+41.55%,1.33,4.0K,8.4K,0493f90c-3d65-4a1a-a8c7-2c07c7fac8dd
74,203,ASM AIFA All-Stars,149.33,+70.43%,+177.08%,0.18,3.2K,29.2K,dc5d1583-dc9e-4339-9f7c-ee07376800dc
69,204,The Orbs by BT,148.84,-68.72%,-81.54%,0.8,1.4K,3.3K,29578afd-898d-4f44-93b5-7c35b3b70f6c
72,205,SupDucks,148.79,-3.49%,-20.71%,1.23,3.6K,10.0K,f9edc90b-da60-4bff-afbd-5fee2e002456
70,206,Thingdoms,148.5,-15.97%,-8.70%,0.31,4.6K,10.0K,3b871098-f672-4a27-97cf-e3ee2ca37505
71,207,Zipcy's SuperNormal,147.61,+35.09%,-55.00%,0.44,4.7K,8.9K,39374fc7-ec70-4933-9229-4bc086ca7e3b
53,208,PartyBear,147.56,+6.04%,-19.32%,1.09,4.2K,9.7K,6f97205d-3134-4523-9a82-249ad8f2828b
68,209,T-O-S The Other Side,147.37,+13.02%,-78.49%,0.27,1.7K,8.9K,e2185dfe-2ace-4293-b91a-5d080822f72b
66,210,Treeverse Plots,145.82,+4.09%,-67.42%,1.33,3.8K,10.4K,1b9ea030-066c-42b2-80d7-29325a36c1ab
67,211,Forgotten Runes Wizards Cult,145.79,-31.97%,-1.95%,1.85,2.8K,9.4K,4f410364-1474-471e-b461-ce4ea3044a24
54,212,Kevin Wunks,144.77,-73.04%,---,0.02,347,555,a33d674d-c3b1-4c41-b08f-eda84742628c
65,213,Dysto Apez Official,143.51,-27.80%,-45.54%,0.44,2.0K,4.4K,03cc0597-27ca-4f00-8aa7-f761610319ee
63,214,RUDEKIDZ,142.96,+162.94%,+3.96%,0.28,2.3K,4.4K,fd5b0a8d-5b7d-4b0f-8492-43a2c5879d7e
64,215,CryptoBatz by Ozzy Osbourne,142.86,-11.72%,-75.01%,0.3,6.8K,9.7K,0bda9df3-74d1-4fb6-aa84-3e9018c5456e
55,216,Dreamers by Yugal,141.56,---,---,20,23,32,7811cc7f-2598-4e91-8179-e0c474c0e6ff
62,217,CrypToadz by GREMPLIN,139.51,-57.90%,-24.06%,1.94,3.9K,7.0K,9ebd918e-3f3d-4a31-bad3-ca4de5f47a69
56,218,SuperFarm Genesis Series,138.37,+132.00%,-16.89%,0.05,4.5K,7.2K,5063710e-500c-4a2a-9698-5a2288df1747
61,219,STAPLEVERSE - FEED CLAN - PHASE 1 of 3,138.18,-78.84%,+62.02%,0.4,5.0K,10.0K,489b08e5-0330-4594-9a8d-2d1e5915c0c6
57,220,ASM AIFA Genesis,138.14,+69.96%,-47.24%,4.85,885,10.0K,e0ec93f8-940c-4b94-9d1b-8c99fce4bcf0
60,221,Crypto Coven,137.84,-75.27%,-31.59%,1.03,4.8K,9.8K,3c7fd8bf-1b06-4c61-b876-41bbcedff0e0
58,222,Ethernal Elves Sentinels,137.34,-49.05%,-25.10%,0.38,262,6.7K,cd653997-cf6b-4789-b538-55dfcee9224b
59,223,Floppy Collection,137.11,-57.24%,-84.86%,0.05,5.0K,10.0K,4213952e-8104-4b91-af9e-c9628d290b9f
44,224,CHILL RX,136.71,+155.63%,-56.21%,0.08,4.1K,9.9K,c92c3ca1-f913-4fce-9976-fe6fb5917564
75,225,CryptoMories,134.73,-33.78%,-38.22%,0.65,5.2K,10.0K,a906a095-84c9-4cac-99b8-e7968a1b403a
51,226,Chain Runners,134.18,-61.49%,-79.77%,0.96,3.3K,10.0K,429ab360-521c-4ffd-b8bd-4e68eed3e290
49,227,ZED RUN,133.26,+52.73%,+383.24%,< 0.01,13.6K,124.9K,818e0929-0ab2-450f-aed9-b4c119165060
73,228,Mirandus,131.97,+10.79%,-29.31%,0.08,14.9K,182,c9cb399e-9eaa-471e-8ff3-76807ffa4640
68,229,Art Blocks Factory,130.03,-19.71%,+308.55%,---,22.7K,87.0K,fc102e74-b32e-4c06-922a-68e5e10cb785
48,230,8SIAN Main Collection,129,-64.48%,+532.62%,0.13,4.6K,8.9K,b173b8ae-c07e-47b3-9a4c-675e04fda1f1
46,231,Zodiac Capsules,127.86,+118.53%,+55.14%,0.36,1.9K,9.3K,396efe3a-322e-4777-91c5-88427425d874
70,232,Commsaur,127.4,-51.90%,+45400.16%,0.01,1.2K,3.3K,6026a3ec-216f-486a-8403-b2d176bfa865
0,233,BOOMGALA_Official,127.34,+6.32%,-76.92%,0.19,2.5K,6.1K,86ffd318-d7ba-4d40-90c6-6dba0ac2a0f4
67,234,Pixl Pets - Genesis Collection,126.51,+154.37%,-41.05%,0.15,4.9K,15.0K,5c5b79d2-53ec-4c37-9fae-78819024e373
65,235,Deadfrenz Collection,125.16,-8.03%,-79.46%,0.26,5.7K,9.2K,0dcfc97e-7900-4eaf-9fd2-73355edb8d85
42,236,Prime Ape Planet PAP,124.25,+71.40%,-42.58%,0.69,5.2K,7.9K,864ae815-3ccf-4dd9-a6d8-39f6fe250fea
37,237,Art Blocks Playground,123.51,+62.12%,-46.15%,---,6.9K,25.2K,8ed4360e-042a-4052-9f13-19bed0d97a21
64,238,Rain Boy Club (RBC),123.17,+31.86%,+38.63%,0.08,1.9K,4.0K,44662918-2bc7-4f7b-9499-a7c7367acaef
38,239,HYPEBEARSCLUB.OFFICIAL,123.17,-17.40%,-31.71%,0.16,5.8K,10.0K,a067b7a9-79a0-45ce-a6a9-f8c16f5f34b1
63,240,SUPERPLASTIC: SUPERGUCCI,122.97,---,-42.36%,8.18,383,500,7970648e-148d-40a9-a05d-bc7acbfcaa12
54,241,TIMEPieces: Artists for Peace,122.53,-100.00%,---,2.3,42,61,e44b4510-5d38-405f-9feb-fcdbd57ec515
60,242,PX Quest,122.23,+63.96%,+233.69%,0.29,3.1K,5.0K,0a01f3ad-0b44-4e73-a957-b620c7e24f35
58,243,Stoner Ape Club | SAC,119.64,-35.51%,+52.00%,0.18,4.3K,6.7K,17fb63e0-41be-444d-81e7-ae3cdbfdeab6
35,244,Psychedelics Anonymous Printing Press,119.25,-38.76%,-38.80%,0.8,4.5K,6.9K,d1a3ea57-cf33-46fa-b982-f1be9800c990
55,245,Notorious Frogs,119.14,+85.88%,-41.40%,0.39,2.7K,10.0K,cf6172f5-e069-49d0-bbc8-9db22017a84f
57,246,Somnium Space VR,118.75,-100.00%,+23.66%,0.55,4.6K,5.8K,405abc39-4c9d-4f52-a09c-d53585493e3a
56,247,The Doge Pound,118.49,+27.13%,-60.10%,1.05,5.6K,10.0K,c608500c-183e-4457-bccd-46f28a4515c1
38,248,RELI3F UKR,117.54,+24.06%,-79.24%,< 0.01,4.0K,37,dfb65db1-a3df-4682-98c1-a6a066088680
29,249,Psychedelics Anonymous Component 2,117.39,-20.42%,-42.83%,1.49,4.3K,6.5K,1228b532-ec78-4f81-a79f-09666b9c61f5
51,250,Superlative Mutated Apes,117.37,-29.96%,+2.68%,0.08,2.6K,6.4K,13550b54-e98c-4067-856b-6725688c5c07
28,251,CryptoSkulls,117.11,-21.19%,-56.67%,0.85,4.2K,10.0K,796e8401-fdb3-47a0-b0fa-cdb9f0af0b65
47,252,FoxFam,116.69,-45.78%,+3.48%,0.44,3.5K,10.0K,ed678794-aeac-4beb-9d6c-dc1395588328
26,253,THE SHIBOSHIS,116.41,+81.43%,-25.47%,0.72,3.6K,10.0K,61d8bdab-869c-40fd-a199-b9d6081ae98f
24,254,WEEDGANG.GAME - STRAIN,115.97,+35.09%,---,0.09,1.7K,6.0K,f21afd51-bc7e-49bc-82f2-0d2819728f3a
25,255,Crypto.Chicks,114.69,-27.00%,-68.81%,0.34,4.4K,10.0K,4f9cd6fa-dc2e-43d5-8ed7-6005909bfbaf
15,256,MidnightBreeze,114.51,+106.59%,-86.55%,0.31,3.3K,7.0K,f47845b3-b17f-4d00-83e9-3dae09c8e732
22,257,The Holy Pets,114.42,---,---,0.08,2.5K,6.7K,8deec130-d7b5-4291-8da2-ee97ac3ed1ca
20,258,Compass Lifetime Pass,110.49,-66.89%,-64.32%,0.63,847,998,273d64cf-b425-4ff2-9bd1-c431a33243e7
45,259,Project Ririsu,110.18,-8.18%,+41.65%,0.03,2.5K,5.6K,d90e9ec0-4dbf-4f6c-a53c-968c84affcf1
16,260,Sins Finance Nodes,109.43,+36.52%,+180.83%,0.1,568,1.1K,b1ebf563-b3c2-484f-be7f-f2814d95e20e
19,261,FLUF World: Thingies,109.14,-65.50%,-10.75%,1.1,3.0K,9.6K,20f1beb1-3723-44f5-bb45-ac8edd85fc43
41,262,OCM Dessert,107.87,-78.92%,-70.11%,0.46,2.8K,3,966807c9-740e-4ec8-86ae-46dbe115a532
42,263,Corruption(s*),107.48,+770.29%,+533.47%,0.3,1.5K,4.2K,6bbbf654-2226-42b6-81c3-301ca8b13d85
2,264,NeoTokyo Citizens,107.35,---,-66.53%,15.49,1.9K,2.0K,eca93b95-5b47-420b-8618-a4ecb7fe0219
14,265,Origins NFT,107.09,-85.28%,+43.06%,4.2,844,2,0c48a988-43d0-4f1b-a96e-2b2975dd35e9
12,266,Snoop Dogg - B.O.D.R,106.08,+185.83%,-16.61%,2.13,2.4K,1,5debd160-3d5b-49f5-9291-1604e48f1160
13,267,Bloodshed Bears TokenGenerator,105.61,+171.01%,---,0.03,322,4.8K,7d8b24c3-5145-47e3-8dfa-5169e53597f7
9,268,Creature World,105.09,-5.45%,-65.55%,0.85,6.2K,10.0K,df02b1c6-5e73-484a-a8c9-cef3246040db
11,269,Women Tribe NFT,105.09,-26.44%,-90.57%,0.15,5.3K,10.0K,c20dc1f8-4b8c-4fcc-85cd-d807ffe1c783
10,270,LOSTPOETS,104.55,-30.75%,-5.01%,0.24,8.4K,27.7K,73844d8f-d022-44bc-9bc4-2074420b9e4f
3,271,Jenkins the Valet: The Writer's Room,104.22,-70.08%,-22.16%,1.44,2.8K,6.9K,8ca780bf-d1a1-4710-9cb7-03f020ee16cf
31,272,Gazers by Matt Kane,104.13,+322.37%,-6.19%,6.5,412,1.0K,b55744b4-5a11-4572-9b2e-7ef73e4d7e80
6,273,Async Blueprints,103.68,-94.71%,+1182.52%,0.02,2.4K,6.3K,0bb3c5db-0224-4284-b368-2a95c3fabb74
7,274,Lil' Heroes by Edgar Plans,103.35,+58.01%,-78.69%,0.85,4.1K,7.8K,fcc9a03b-3ce3-4707-b5a6-22f3842a2f95
4,275,Drawshop Kingdom Reverse,"237,504.21",-16.24%,-69.95%,10,2.7K,11.7K,c2bcc5fd-4b11-483a-bc42-fb4c93ba972e
5,276,Psychedelics Anonymous Component 1,102.93,+77.90%,-50.95%,0.75,5.3K,9.6K,85ab37ca-8883-47d0-9449-8cbd880229d4
25,277,Creepz Reptile Armoury,102.8,-40.35%,-36.04%,0.19,283,20.0K,e4a927da-9427-44f6-9563-fd561d98b1e6
26,278,Turf Plots,102.27,+35.95%,-77.29%,0.49,1.9K,5.0K,b27cc7ae-cb36-4d56-846b-189bc002ab2d
23,279,Gutter Cat Gang,101.85,+804.09%,-47.49%,5.79,1.8K,3.0K,fcadd170-2a0e-4955-aa83-81b402379d60
24,280,WEEDGANG.GAME - PLOT,101.81,-35.55%,+44.48%,0.19,750,1,24e5ba53-0590-44c0-8fe9-fdf0bcb35470
3,281,Nuclear Nerds of the Accidental Apocalypse,101.51,-3.23%,-86.92%,0.38,3.6K,9.0K,d088270d-9257-4c09-ab89-392e12ab542e
22,282,The GFT Shoppe: Atari 50th Anniversary Commemorative Collection,101.2,-5.89%,+24.74%,0.03,4.6K,10.0K,f80ce6d1-7187-481a-9fd7-35b4ec741f0c
20,283,Bloodshed Bears TreeHouse,99.95,+95.28%,---,0.02,365,3.1K,aa5ee630-9b2c-46ad-899d-d8436230a252
21,284,Roo Troop,99.81,-88.13%,-39.47%,0.2,2.2K,5.5K,372300f4-b4dd-4b65-9cb7-d059877f33d8
16,285,MekaVerse,99.05,-40.07%,-37.26%,0.8,5.0K,8.9K,bd47869c-2e9b-47df-a329-aa24967751bc
19,286,Genesis Critterz,97.79,+5.24%,-76.35%,1.64,174,3.9K,95b397ac-8504-452a-940c-ea00cc6f2346
17,287,Re-Be World Land,"223,463.06",-59.78%,-61.17%,320,1.5K,6.0K,0c6eb5bf-338d-4ea9-b9e6-f01fbfa9da5a
18,288,DotsCountryCLub Collection,96.8,-100.00%,+30.81%,40,5,6,e9341d36-de2c-474c-bc3d-4a14bb3e4cef
4,289,Meridian by Matt DesLauriers,96.7,---,+202.19%,6.25,612,1.0K,f499d11f-ced2-4d03-aadd-b4bf2ca5528a
15,290,inBetweeners by GianPiero,96.56,-20.56%,-9.74%,0.38,5.7K,10.8K,e2cd7273-d64c-4b15-861c-dd315a40fc48
13,291,Gutter Pigeons,96.39,+115.71%,+133.91%,1.4,1.9K,2.9K,050f3060-15f6-4cec-9045-e98fee990f6f
14,292,Phantom Galaxies Origin Collection,95.75,-26.67%,-25.12%,< 0.01,529.6K,2,e73bcced-4125-4795-9033-d2044d680780
5,293,HYPERSLOTHS-RDY-LABS,95.37,-58.52%,+35.32%,0.24,897,1.6K,5b498562-cc06-44d7-8348-2d333f4abdde
12,294,0xApes Trilogy,95.24,-25.94%,-39.94%,0.21,3.9K,10.0K,398cb5b0-a075-47c3-bf72-5e33c9fe5a30
10,295,MetaHero Universe: Generative Identities,94.89,-100.00%,-18.66%,3.94,316,6.5K,01d41ff4-54c8-4698-b179-6cfb8fb9e0fc
11,296,KCG,93.88,+34.20%,-20.83%,0.2,1.9K,7.9K,0319bf62-0e90-4892-adb3-5f20fc0111e1
6,297,Lovely Erre,93.75,-100.00%,+135.32%,---,3,14,c0dd2f41-e75d-4965-b850-3f99ea1544f4
9,298,Little Lemon Friends,93.58,-47.17%,-30.18%,0.24,5.4K,10.0K,6053b5f0-291d-42b3-a531-82833a9bcbb6
7,299,PeopleInThePlaceTheyLove,93.25,-80.28%,-86.07%,5.6,766,1.0K,ab623672-142b-4ba7-a704-85746ec2d251
8,300,OogaVerse,92.46,-43.76%,-32.97%,0.35,958,4.1K,1b003dd9-0fb0-41af-87cb-aaa1b4bac63b
75,301,The Sandbox ASSETS,92.19,+0.97%,-45.29%,< 0.01,28.2K,2.2K,23ad61a6-4b46-421b-a241-099fbd2b402a
73,302,Moon Ape Lab Genesis,91.53,-50.68%,-40.66%,0.25,1.2K,8.0K,b3e4d797-c492-4acc-b70f-bbc37c4d4374
74,303,Lives of Asuna,91.37,+32.83%,-51.01%,0.22,5.8K,10.0K,4906bdb9-8e52-436a-8d36-a35b5acdc319
69,304,pseudomods by erin bee,91.34,-64.64%,---,0.1,394,808,8852cd1d-5917-4846-b613-b5237a01cece
72,305,Space Doodles,90.71,---,---,10.94,2.6K,4.5K,b4803f4d-07e4-4307-98e8-042eea4a8202
70,306,Plug Pass,90.32,+260.89%,-18.87%,1.58,863,1,0a8c4b06-4055-41ba-af6b-23f6a0eb4807
71,307,Rumble Kong League,89.79,+103.38%,-25.58%,1.75,3.2K,10.0K,5900e66e-bd1d-4a6c-bc90-184806cc6820
53,308,ALPACADABRAZ,89.77,+25.20%,-36.64%,0.45,4.4K,9.7K,151a5576-977c-48b8-b6c6-508373a1c2fa
68,309,Loot (for Adventurers),89.6,-86.68%,-45.26%,1.85,2.5K,7.8K,8f44b2c7-47d3-4aa5-a12a-02fda3d8a921
66,310,Jadu Hoverboard,88.86,+150.49%,-62.76%,0.67,4.1K,6.7K,bb33a288-1a65-4192-8e45-fc7aeba11090
67,311,Yeti Town NFT,88.01,+6.07%,+3.25%,0.1,1.5K,4.4K,8f0ab51a-c088-4df2-bb9d-539026316753
54,312,Flyfish Club,87.38,-49.48%,-19.36%,4.1,1.3K,3.0K,8d538b8c-0eda-4227-88ec-16111b0bfe84
65,313,Swampverse,87.3,-32.50%,-40.02%,0.36,4.7K,9.6K,0c09d913-42a0-4fd1-a3b8-7df3fc5968a0
63,314,Wolf Game - Wool Pouch,87.18,+188.34%,-46.32%,0.45,3.0K,9.5K,29c94fdd-6c7e-455c-ad18-647833ae6cb1
64,315,JungleBay Ape Club,86.79,-70.11%,+161.13%,0.17,2.1K,5.6K,856bede6-89f8-4578-87e0-c8c5ed362b49
55,316,Cryptoon Goonz,85.78,+19.32%,+2.61%,0.5,4.0K,7.0K,22ba49fe-4f2b-4cb6-a4bb-5c9a303c5d27
62,317,Official SeKira,85.54,+10.01%,-77.66%,0.01,1.7K,3.2K,2ffb266a-0682-4cd5-81b6-5b79e44fef11
56,318,Wolf Game - Migrated,85.28,+393.08%,-66.02%,0.81,631,13.7K,9ec92f4c-95b1-4562-9e7c-ef4057e7d47f
61,319,Block Pass,84.9,-83.43%,---,0.22,435,569,9fe0ddf2-b286-455f-801e-900c4ac2b317
57,320,SuperRare,84.89,-99.29%,+378.79%,0.12,6.3K,30.1K,78727985-85c5-4178-bd29-8820fc918c07
60,321,Project Godjira Genesis,84.88,+78.07%,---,16,307,322,18eeefd7-abae-4044-88b2-5ece559cc220
58,322,Heroes NFT Collection,84.63,+79.69%,+215.42%,0.29,868,3.3K,d0b6d0a4-884c-456d-b392-83e3f5f7ff20
59,323,Cyber Turtles Genesis,84.38,+37.82%,-62.58%,0.19,283,5.6K,ceab1255-f141-4aa3-9067-e5e49efc95ef
44,324,Champs Only,83.83,-44.83%,-19.07%,1.18,1.3K,1,6172fac8-edbe-4972-b44b-311ea6a83752
75,325,Space Game - Marines & Aliens,82.88,-53.44%,-45.12%,0.02,387,28.0K,50710a5c-92de-40e1-9936-c43638485981
51,326,Louis Moinet Space Revolution,82.06,-60.77%,---,0.27,559,1.0K,f01e60aa-0ceb-4a97-a762-d97bdf66762b
72,327,Enter Shizuka,80.75,-31.42%,---,0.05,998,1.5K,72a8542d-0b9f-4db4-92eb-8b3549b39110
50,328,OxyaOriginProject,79.1,+83.09%,+246.04%,0.18,3.0K,7.9K,a9787366-5a64-474b-858c-ab84a13f8253
68,329,Robotos Official,78.88,-8.40%,-39.60%,0.69,5.7K,10.0K,0fe7a7cb-3620-4385-8ab9-735cfa8ac941
48,330,Crypto SE7EN Society,"180,017",-75.30%,-60.26%,270,663,6.9K,e97a3939-8e75-4905-ac08-05d0f0688bdc
69,331,DarkEchelon,78.08,+70.55%,-39.59%,4.5,475,520,fa06ebc3-4ee5-4e9a-8de6-fe08482c0468
70,332,BrainDrops,78.02,+9.07%,+226.99%,0.07,2.3K,7.7K,f8b9e2ae-2f20-44c3-a8bb-896e5078aa55
0,333,Meta Angels NFT,77.76,+8.55%,-63.24%,0.27,4.4K,10.0K,23d886bd-3b1a-489b-a44f-5a075775748a
43,334,Alpha Elementary,77.75,+17.34%,-86.66%,0.1,1.1K,3.0K,836b4835-6f40-4a4f-89ac-4bb27e385ae3
65,335,Cosmodinos Omega,77.11,-22.29%,-87.11%,0.07,4.3K,8.9K,1dd3e8e9-233d-4d6d-834c-874debabdcbe
42,336,CyberTHUG Genesis Club,"176,502.03",-63.68%,+25.01%,250,1.0K,10.0K,ee509397-2958-41d9-8b13-0a378445a778
37,337,AP Club NFT,76.49,---,---,1.88,146,159,ef7aa778-56ac-458e-bd91-d6207772006d
40,338,Tales Of Tsuki Genesis,76.17,-45.23%,-96.36%,0.03,6.0K,10.0K,da5260bb-925b-4138-a358-dfb11444800d
62,339,Sneaky Vampire Syndicate,75.45,-58.97%,-66.40%,0.64,1.4K,8.9K,ddbeed4c-55ab-4206-9b90-43fa54c78240
39,340,Cool Monkes Genesis,75.37,-38.22%,-58.64%,0.25,825,10.0K,99f7c36a-0b53-47ea-996b-6230ba25d3c4
30,341,Tsubasa By Tabinekokiki,75.35,+140.88%,+30.17%,0.13,507,1.1K,7e866999-bbb8-4ebd-a115-a62b316e768d
36,342,Stoner Cats,74.95,+37.73%,+270.64%,0.3,5.1K,10.4K,ce114ac5-e61b-42cd-abf2-9c7a8b112d51
58,343,Chumbi Valley Official,74.23,-16.35%,+39.82%,0.65,1.9K,4.1K,471da74a-a90c-4b43-8f03-ee259328fefe
59,344,SYLTARE-OFFICIAL,"170,196.03",+998.57%,-94.32%,3386,2.4K,9.7K,8970823f-9df6-480a-892d-47de46adc771
55,345,Neo Tokyo Outer Lands,73.71,-19.09%,-61.73%,0.39,3.4K,3.8K,0ba4024b-20d3-4c06-918f-8a0dc76b00eb
57,346,Killer GF,73.55,+28.32%,-55.43%,0.34,4.2K,7.8K,3a861203-18e6-4d59-8960-50bc576caea8
32,347,WVRPS by WarpSound (Official),73.46,-42.18%,-65.25%,0.3,5.0K,10.0K,202aeae2-0c21-4f32-be46-9eeef05ff539
38,348,Nostalgia by YMH,73.45,+15.51%,+26.98%,1.25,2.3K,2.7K,759e3e2f-e871-422c-ba81-093c0596eba3
53,349,10KTF,73.39,-95.40%,-29.31%,0.24,4.5K,18.4K,bdfe112e-923a-4267-86b0-e088c8764f90
27,350,Gutter Dogs,72.71,-20.33%,+15.21%,1.54,2.0K,2.9K,a274b2b3-a8ba-4c90-aefe-9d65a8947362
28,351,Quantum Curated,72.68,-69.41%,-52.79%,0.75,873,2.0K,a4e214cd-0468-47aa-ae1f-015bdbaf20c9
47,352,Ethereum Towers,72.21,-43.18%,-13.21%,0.75,1.3K,2.2K,3e67fdd7-5677-4584-a435-0b8b330dca47
26,353,MurMur Cats,72.11,-12.33%,+1.67%,2.5,429,638,730ea576-4bce-457f-9011-4096d1b5b205
24,354,Millionaire Puppy Club,71.85,-50.70%,+724.91%,0.9,35,99,a160ff0e-22c3-44db-84c2-7410c3a15b8f
25,355,FOMO MOFOS,71.2,+13.55%,-32.22%,0.27,4.3K,8.0K,6213776b-6782-4b1b-923b-75189b50c055
39,356,The Heart Project,71.01,+125.44%,-26.40%,0.3,5.9K,9.9K,1c8993f2-68ce-47c0-ac72-df444cb6b856
22,357,Ninja mfers Official,70.89,-46.02%,---,0.07,1.7K,4.4K,7ff0d3cb-2fef-4790-b018-ec3bbefef0fe
44,358,Crypto Cannabis Club,70.79,+74.56%,-9.17%,0.32,4.4K,10.0K,29ad1f6c-a0f2-423e-b132-6058e978ff95
21,359,LinksDAO,70.52,+34.90%,-51.68%,0.49,5.3K,9.1K,58ffa6f2-c5ce-42a8-8f61-3e4b436aa5c9
16,360,Voxies,70.47,+92.47%,+80.63%,0.4,1.7K,10.0K,bd5da11f-5a4f-46c8-9928-d50b832cf0be
19,361,Sherbet NFTs,70.19,-4.72%,-42.60%,0.16,3.6K,7.8K,62965076-2861-4db8-9472-6ca216655f55
17,362,ZED RUN Legacy,70.08,-74.48%,-54.06%,0.01,44.7K,217.9K,17a34257-20a4-4bba-abeb-c77f68f38daf
18,363,My Curio Cards,69.7,+10.98%,-47.44%,0.38,4.9K,30,78d74796-005c-4b2e-bd08-c18c8a8a2cf1
2,364,Council of Kingz Official,69.37,+0.34%,-67.04%,0.43,1.8K,7.8K,0b8816c4-3c61-4eef-9887-80f9c0d36095
14,365,Creepz Mega Shapeshifterz,68.36,-21.71%,-26.91%,0.39,2.0K,3.5K,cc87e07a-edaf-4480-be44-a2584473ce47
12,366,Kaizen Genesis Collection,67.55,+816.87%,---,0.08,1.6K,2.0K,a0103e32-5a04-437c-9580-53aad51a3a37
36,367,Neo Tokyo Outer Item Caches,66.1,+37.23%,-42.94%,0.34,3.8K,4.3K,0bd3df17-1db2-427a-8111-5f7dca12c3f6
9,368,Gooniez Gang Official,65.93,-35.49%,-59.55%,0.11,5.8K,8.9K,db6e58bd-bde2-4f92-bf53-f84640fbbea9
11,369,Toxic Ape Official,"151,484.43",-47.62%,-95.27%,103,3.0K,10.0K,7fc5ef38-abb4-4087-bda2-aef5bff76c1b
33,370,Untitled Collection #180034364,65.6,-100.00%,---,---,2,28,d66269ff-595b-46f8-ba03-2aba4aab39d4
3,371,Artifex,65.5,-60.69%,+5854.45%,0.09,700,3.4K,31f34ee0-9e42-4442-8356-31a32e854ff7
8,372,Evaverse,65.19,-60.17%,-31.75%,0.23,3.0K,10.0K,cfa8714e-c078-4d4d-ac44-1fef3046115e
29,373,- TronWars -,65.18,-31.63%,-0.85%,0.12,5.1K,8.9K,21000641-6ff8-49ba-ac87-b431b8c964ea
30,374,Frontier Game,65.15,-35.37%,-69.18%,0.08,7.4K,56,61a2d87f-8fac-4864-a24c-0778d5f3d594
2,375,EunDan's World,65,-100.00%,+44.90%,5.2,4,13,76b45691-5695-4a0f-8fb3-383adbc75550
5,376,Fudders,64.98,-1.31%,+36.98%,0.07,2.8K,6.5K,9230a5c0-64b5-4687-b1bb-52d0cb737970
25,377,Crypto Bull Society,64.69,+21.36%,+14.49%,0.33,4.6K,7.8K,68de26bd-67a5-4fb5-9f3c-00c1493aaa1d
26,378,Gutter Rats,64.54,+92.18%,+128.24%,1.42,1.9K,3.0K,e4ebf9b3-4953-4fd1-b6f8-aae873901625
23,379,SandVegasCasinoClub Official,64.25,-46.03%,+16.17%,0.39,4.3K,11.1K,fca0137a-4289-48ac-8aa7-6ac284b41444
24,380,Cereal Club,64.03,-49.54%,-85.23%,0.06,4.4K,10.0K,c150834f-5d10-4eef-8bf7-d14ebcd54090
3,381,Where My Vans Go,64,-100.00%,-70.33%,59,57,118,bcd531f6-2cc7-4c6b-acf1-ae337deec060
22,382,ARBO Artifacts,63.2,-52.47%,+11.23%,< 0.01,1.9K,46,c383e92c-116c-4c94-9688-9766420aa3ff
20,383,BLOCKS by harvmcm,62.53,+9011.67%,-50.41%,0.37,656,1.0K,272c6896-ab55-4f35-a407-c2c9bd8673e6
21,384,Wolf Game - Farmer,62.4,+119.18%,-52.25%,0.6,3.4K,11.7K,89a4a839-55ce-426b-9108-266a751ac645
16,385,The Kevin Mfers,62.38,-88.84%,---,< 0.01,2.6K,10.0K,960be50e-d134-4165-b706-1f44eb70f25c
19,386,Deadfrenz Lab Access Pass,62.08,+30.18%,-69.90%,0.35,1.6K,6,be19a065-f0a6-4b35-a6ab-1fc1bb783fc0
17,387,the ape frens (Official),61.4,+41.85%,---,< 0.01,1.9K,7.8K,b22050ac-04b0-4bb4-aa52-5597b9895141
18,388,BomulPlanet Season One,"140,908",+329.86%,+81.74%,4900,388,5.1K,9be2e67b-f576-4071-bf7e-16f199ee6688
4,389,AzukiApeSocialClub,61.06,+204.59%,+26564.55%,0.07,935,3.3K,12157c2c-8e2c-4d90-bc21-75fc05906f2d
15,390,Rebel Bots,60.99,+249.02%,+1.06%,0.3,3.4K,10.0K,4ed5c3ce-b906-4e00-96e5-88482bb26a48
13,391,CryptoDickbutts,60.63,+85.47%,-73.54%,0.89,1.6K,5.2K,e627af8d-f09e-49aa-81c5-4f58d9064893
14,392,METAMON PROJECT,"138,440.79",-14.41%,-79.64%,118,1.7K,10.0K,807d2a82-ff94-4603-85c8-96db6c92f113
5,393,Nouns,60,-100.00%,---,68,141,230,4a3ba344-b788-4636-889d-abb70fb14f9f
12,394,Wolf Game - Genesis Land,59.65,+0.52%,-32.86%,0.29,5.3K,20.0K,b1d5af9b-f5a7-4cf6-b547-d505bfaaec4d
